Unnamed: 0,NOAH SAMSEN,sentiment,cluster
229,i feel like whoever asked the other out on the date should pay for the first date then go back and forth on the future dates,3,1
230,new podcast cool guys being dudes,5,0
231,noah your editing style is my actual favorite i jus wanna be like u,5,0
232,that whole tom and jerry bit was cool but are we gonna ignore the fact that he said no big bro does he think his girlfriend is gonna cheat on him with her brother,3,0
233,that s not the same thing at all the guy who feels like he has to pay is not the same as the woman demanding the man pays it s the same as the analogy about expecting sex it s very lopsided both are influenced by the way society expects things to be but only one of them is benefiting from it i understand that it s because of the patriarcy but it s not the same,2,1
234,to all the guys hating on red pill ask yourself this question does the creator of this video look like he d ever have a chance of sleeping with a 9 or 10 case closed,1,1
235,i m not feeling the will to change here it s putting way to much emphasis on women being at fault for toxic masculinity,2,1
236,i petition these guys safe other men since they hate women so much,5,0
237,8 52 is he talking abt lesbians w comphet rn,1,0
238,00 33 i watch all those channels,5,0
239,hey noah i appreciate the nazi zombies reference but i don t want to get engaged man love you tho,3,2
240,not the strawberry elephant,2,0
241,you were not taught correct,2,2
242,why is the camera angle for 75 of these dudes straight up the nose holes,1,0
243,i d really love to see you cover this topic from the flip side though if you really wanted to make a great video that stands out make one about good guys who do a great job showing how to talk to women talk to different men about how to field and what s appropriate in different environments there s a ton of content to go into lots of guys desperate to hear it and you d be doing a wholesome service that fits with your base,4,1
244,look man if you need fucking tutorials on how to talk to women then you have to be working on a lot more stuff it s simple talk to women like they re humans like you re equals,3,2
245,this whole channel is it s all mens fault women do wrong only because of patriarchy sheesh,1,0
246,3 minutes in and 4 ads and an ad read that s fucked,1,0
247,i am a late gen xer on millenial cusp i was always under the impression if a guy asked me to dinner or to see a band or movie especially if i was broke would make a little joke that i thought it was great but couldn t afford it which was the truth because i didn t want them to expect i thought they had to pay some guys would be a little hurt bc they wanted to take me on a great day i m an empath as well guess as a human it sucks to be nice,2,1
248,thank you for making the world a tiny bit better in your own way,5,2
249,man shutcho ass up why is every unfunny commentary youtuber so damn liberal,1,0
250,10 56 women will never happily be the bread winners while you sit on your ass all day playing video games so why even bother,5,2
251,i like to laugh at simps laughing at incels it s very meta,3,0
252,no tom or jerry i m heading to the streets now have these guys even talked to a woman in real life the 40 year old virgin club,1,1
253,make your own content emasculated loser,1,0
254,i know this is besides the point but what makes the most sense to me is whoever asked the other out pays also splitting the check to me personally is strange but i honestly think that i think like this bc i m mexican and food is a major bonding point so people fight over who s gonna pay the check in whole,3,1
255,who s fighting lol just pay,1,0
256,question from an old woman how do we have so many man babies with arrested development legit question is it all just a grift,1,0
257,both tiktok rewards that type of video fast explosive direct it s how people make their money over there say or do something wild and hope it catches the wind keep up stuff like it hope you don t get banned and make some pocket change,5,1
258,caroline i feel ya i have no idea,3,0
259,the thing with the paying for dates is that it s from back in the day when women didn t have money of their own so obviously the guy payed,1,1
260,not completely and it s paid lol,1,0
261,very good i will probably subscribe,4,0
262,i think that the man should pay for the date but by the man i mean the patriarchy,3,1
263,right first off anytime a man speaks about his feelings they are used against him and no one gives a shyt anyway so why bother any time i have opened up to another person i have always regretted it later secondly about the whole relationship thing not everyone is even meant for relationships if people want to live their own life how they like for their own reasons what business is it of anybody else s lastly we have reached the point where true understanding and compromise is impossible and i have resolved to simply stop caring about things that don t affect me personally doesn t affect me then not my problem popcorn,1,1
264,maybe find better people to be around me my family my friends and my lover talk about our feelings a lot and it gets personal often and at times dark dont blame society like this when its clear that the people around you aren t healthy and or mature enough to have these types of talks,3,1
265,it s such a stupid thing to say that women don t marry who they want that s not even slightly true not even a bit this isn t 1889 women don t have to marry who we are told to anymore men ask typically and we say yes or not men are still the ones doing most of the asking for sex and for marriage we are still the ones answering their request,1,1
266,have you tried to roast them red piller live myron is doing a podcast every week or so or have you tried debating better bachelor or steven crowder perhaps or christina h picking at some low hanging fruits from tik toks doesn t make you any better as a matter of fact this is the same behavior as them pick a random video and start ranting and never give them a chance to reply or defend their points all this really does is virtue signaling to females and appeal to their vanity quite disingenuous really,1,1
267,i ve said this in some other videos of his it s why he been called out by some breadtube people noah is legit a part of the very problem,1,1
268,_ feeeemaaales _,5,0
269,the video was good until you said zelensky,2,2
270,lmfaooo the tom and jerry part definitely made me loose it,5,0
271,so i used to have a friend who had a crush on me and we were pretty close i didn t know she had feelings so i was oblivious the whole time but we were friends since middle school my boyfriend knew but didn t try to make me stop being friends with her we called eachother wife as a joke and he politely asked me not to do that but that s it he didn t say if you loved me you d drop her or anything ike that we eventually stopped being friends and he told me he trusted me so he didn t worry about it at all i love that guy,5,1
272,matthew is not red pill idk why you d include him,1,2
273,in the next part of matthew hussey s video he says that if a man doesn t offer to pay he wasn t raised right i ve seen people respond to the video more than once,1,1
274,that stupid quote about marriage and sex in men vs women is so dumb and makes you come to the only conclusion these guys wives are settling for them not the flex they think it is,1,1
275,do you ever think that this kind of roast the incels videos from bread tube only bring validation to the red pill manosphear fandom by validating the underdog image that they so often try to portray themselfs as,1,1
276,mwaa goodbye god no ah where was my consent for that one not in your earholes the nerve of this ma uh du um jerk anyway love you noah mwaa,1,0
277,and sadly there women who literally think like these men,1,1
278,the one who asks pays,5,0
279,if someone feels the need to control manipulate and emotionally damage another person they don t need to be in a relationship my husband and i fully respect each other and our emotions he never tried to control me at any point in our relationship and when it comes to our emotions both of us support each other and rely on each other for understanding we know we can come to each other when we are going through something i absolutely support men talking about their feelings and being open but this manosphere crap is really pushing a dangerous narrative i m a survivor of dv and sa and a lot of these tactics they are talking about are very similar and sometimes spot on with dv men shouldn t be watching these videos and thinking this is the way to act around women if you feel so insecure in a relationship that you feel you need to control every aspect of the woman s life then you are not ready to be in a relationship point blank,5,1
280,red pill you mean low intelligence squad,1,2
281,everything in the lives of these men is about women putting them down,5,1
282,submite to u basically she has to sell her soul to this fuck and not breath without asking him,1,1
283,wren is fucking genius monetize people s guilt lol,1,0
284,i find the mentality of being controlling towards your partner as a means to combat the potential they might cheat to be super extra insane in a way a lot of people don t often point out if your so would cheat on you if given the opportunity then your relationship is already deeply toxic and damaged it s a relationship that you should be able to acknowledge isn t working it s a relationship that you shouldn t want to continue you should always feel comfortable with trusting your partner around others and if you don t you should consider deeply why you feel that way,2,2
285,if she cannot submit to yewww and the things you want her to dewww shes not for yewww ok dr sewwws,2,2
286,noah where s the fucking kitty,1,0
287,i think the one good take in the other side is the guy talking about dating and who should pay if you go out with someone it d be nicer if everyone assumed they d be paying that way you both have that nice moment when you realize someone was willing to pay for your dinner if you just assume your food will be paid for it s kinda demeaning for the other person so maybe we all could just like not do that,3,1
288,hop goblin lol,4,0
289,someone peg these misogynists,1,0
290,25 43,3,0
291,20 58 where did this idea come from that men are supposed to pay the more i think about it the more i tend to think it came from a time where men made more money than women anyone else have any ideas or know where this came from,1,1
292,well you re mostly right men however still make more the gender pay gap was and still is a real thing however the further back you go the more difficult it was for a woman to be financially independent as recently as 1950 s america for instance women were often refused their own bank account either they were expected to have one gifted to them by a parent usually the father or expected to use their husband s this wasn t universally true of course but it was common enough that it gave rise to a whole pile of stereotypes and gender norms that persist to this day,3,1
293,18 10 why does he always emphasize the bitch like the margaret thatcher is dead video,1,0
294,the girl i m talking to is helping me get over a lot of past trauma by telling me i m not my past almost daily these dudes are just insecure fuckheads,1,1
295,1st dude if she does not submit to you everyone with a brain okay now hold your horses,1,2
296,from all us sarahs fuck you too noah jk,1,2
297,these guys are the exact type of guys that a majority of women and girls avoid at all cost,5,1
298,5 03 you do realize there are other toms and jerrys in the world right,5,2
299,seems clear to me that these men had a traumatic experience with girls and they are projecting their traumas and insecurities to the young tiktok audience as a person that really struggle dating i would like to say that even in frustration i try to have a balanced and rational perspective of the whole situation,4,1
300,personally i love being for the streets,5,0
301,i don t like it when men pay the tab for dates because it always feels like they expect something from me in return i always ask to split it on a first date,2,1
302,some darn good maplestoey,3,0
303,dude i love you videos so much,5,2
304,thanks for this btw,5,0
305,when i think about it why should men hide feelings from women when they probablyyy know how to deal w it better than us,3,1
306,i used to follow these guys a lot n watching this vid now makes me realize that it was probablyyy just me being insecure n lonely and never feeling the touch of a woman,2,1
307,so that s pretty poggers,3,0
308,i really noticed all the shiz that men get for being something more than a robotic wallet when i came out as a trans guy it hurts especially since people will use anything that i do that isn t hyper masculine as an excuse to say i m not trans enough,2,1
309,i like u make fun of people who dont think the same as u do noah i bet u get triggered for the fact there are men who dont want chicks who has participated in hookup culture then again its a free world and some simps wont mind but some people do however i think its way better being honest with yourself and having a serious discussion with one self and make up your mind on certain topics and not be group pressured into believing something one does not believe in of course that also comes with not hating on people who believes the opposite u do i dont want a chick that sleept with anyone cuz im a vrigin and so i expect my gf to be aswell im not gonna change that standard for literally besides dont give me the crap about not being sexually compatible i think i comes down to both parties being honest again and a clear communication i just think its honestly sad too see u make fun of everything however shows me no personality wheres your thoughts on this and that got none i mean u cant be serious for even a second its really sad too afraid of upsetting ur fan base or what like come one man grow a pair and say something u agree with the opposite instead of always disagreeing it makes no sense cuz it seems like u believe in either black or white and that conecpt exludes the grey parts in the world that exists i honestly get triggered when people like u dont even try to have a serious discussion just gaslighting and strawmaning every agrument someone puts on the table this worlds sucks ass but mostly the women do,4,1
310,great work the additional audio sounds for a joke are so well placed they re hilarious,5,0
311,he has a moustache no man can argue with,5,0
312,lovely stash bro,5,0
313,that amazon forest project is amazing i just needed to say that definitely gonna check out wren,5,0
314,despite everything i think this kind of response is valuable sure some of these men are too far gone to be affected but coherently laying down exactly how with so much patience can only be good for people on a healthier path we all have a lot to work on and hearing this helps counter the normalization of harmful views,4,1
315,care more is an interesting concept of itself we had to have this discussion my husband and i i feel my emotions more than others and he feels them less than others we like to think of it as having different health bars from video games i have a larger health bar than him so while my love is more as in stronger we love each other with the same percentage rate of our health bar although his health bar is smaller than others he is an amazing and thoughtful life partner and friend,5,1
316,way too much commentary in between clips the in between sections drag on way too long here,2,0
317,i love it when you find some guys lol,5,2
318,oh boy more guys,5,0
319,please talk more about menslib,1,0
320,the celest music is iconic thanks sir for that,5,0
321,i think alpha male critique mock and analysis videos are always good for you creator cause its such an easy topic to elaborate and for us the viewers cause shit s entertaining go get that bag bro,4,2
322,i got that though the fire and flames on expert reference so i must engage as is prescribed in the writings of old and my axe mr samsen and my axe,3,1
323,btw for the hitler made good art angle just a reminder he fully lacked understanding of perspective he would just draw what he saw,3,0
324,right off the bat with the first video i hope that women who interact with these types of men know that they too are not for them they don t have to change themself or be less than to be with someone because there are mature men with more open mindsets out there i know our ability to comprehend differs per individual but i honestly had no clue there were so many men and women who had no idea what a healthy relationship looked like,1,1
325,the last guy who was all about paying for date is disgusting me if he s asking for sex in return for his paying what if woman paying for the date and she should ask for return i wish someone asked him this,1,1
326,at that point why not just pay a sex worker lol,1,0
327,it s fair so wth are you saying,3,2
328,did that guy say no big bro sir are you ok edit oh ok it got worse,2,2
329,i pray no woman has to go through such a controlling relationship forcing such extreme change upon someone is the base formula for a disaster,1,0
330,the funniest thing about all of these loser dudes giving dating advice is that they re giving it to men already struggling to find dates and telling them to do things that will make them even less dateable then of course they assume it s the fault of women and not their own terrible behavior and beliefs unless you find a girl with really low self esteem which we do know they re looking for sadly because they can t handle anything else she s not going to date you she has plenty of other options,5,1
331,honestly we really need to drop the men should pay bulls it it s been hurting our case long enough and there is no basis or excuse for it i ve never once let a date pay for me unless i know i can get them back next time then again _all_ of this feels pretty the straights are at it again,1,1
332,lmao nacht der untoten lv99 eyaaaaaa,1,0
333,why are alpha men always so obsessed about their women submitting to them are they really that insecure,1,1
334,why are queens always have the most to say about men but when men give the same treatment you guys get butt hurt,1,1
335,wait not letting a woman have male friends is alpha sounds like little d insecure energy my wife s best friend is a male sure he is gay but even if he wasn t i d be cool with it i know what i got i know what i deliver if i had to give up my female friends i d feel pretty sad and i would refuse to do so,1,1
336,easy money swim in it,5,0
337,24 38 i was super vibin and loving the vid until this moment noah sarahs in the comments rise up,5,0
338,you and your bisexual lighting,5,2
339,submit to yooouuu,1,0
340,tweedle dee and tweedle dum injected with polo ralph lauren cologne and nissan gtr break fluid,1,0
341,i hate to be the one to bring this up but you are wrong you are ssoooooo wrong tom and jerry are hanna barbara not warner bros,1,2
342,who should pay for the date whoever the fuck can jesus xd we are all too poor to still be having this conversation are y all okay,1,1
343,new guys dropped,1,0
344,no guy friends that man has been cheated on before,1,0
345,all of these dudes seem to just care about looking less insecure to get stuff instead of actually becoming more secure its pathetic they think having a girlfriend will solve their problems,2,1
346,17 50 im empathetic and caring but like in a hot and sexy villainous kinda way like oooh is probably my favorite line of yours lmao,5,0
347,you comedy is top notch ngl,5,2
348,lol funnily enough due to my own experiences and upbringing i would honestly say that with my ex that i didn t care as much as she did as a self defense mechanism and engrained machismo and god was that terrible for our relationship eventually definitely was a huge factor in us splitting up this lean of mine towards indifference rather than caring exacerbated her own insecurities haha this is terrible advice,1,1
349,the issue i ve found is that when i pay for my part a majority of the men i date feel emasculated which i guess is better to learn early however when i let them pay they feel entitled to my body it s like i m damned if i do damned if i don t,3,1
350,you can t win out here,5,2
351,save yourself a step here if they can t get to the place where they feel entitled to your body they feel emasculated picking up the check is just an excuse,1,1
352,you quoted matthew hussey s point out of context in bad faith his point was to challenge men always having to pay absurdifying the claim you obviously didn t watch the video you did the same with vaush buddy,1,2
353,i know i saw him in the thumbnail and was like he definitely doesn t deserve to be in this video,2,1
354,great video man subbed right on in there,5,0
355,i m so glad to see my favorite mustache man growing and being seen more,5,0
356,one thing that will never fail to be funny to me is all the incels alpha males that flock to these videos to tell women like me what our dating preferences are imagine being that clueless word of advice no one knows what women want better than other women and every woman is different instead of listening to bad misogynistic takes why don t you talk to the women you re close to and get to genuinely know them on a deep and personal level learn what they re looking for in a partner and if you re compatible with their wants and needs shoot your shot,5,1
357,if dating a woman is so bad why dont they just date men,1,1
358,because they re not attracted to them i m assuming,3,1
359,there should be a minimum intelligence requirement to be able to use the internet we shouldn t just be able to say stupid shit like this and project it to the world like some universally acknowledged truth willy nilly,1,1
360,your continued dedication to bomberman hero music the greatest ost of all time is noted and appreciated,5,0
361,can t believe i used to watch these guys videos this is fucked up,1,0
362,my advice to all the little blue pill beta cucks here if you want t find out aboutsolipsism and more so the broad theme female nature check out strong succesful male channel no made up stories top proof of the modern narcciscist women out there when you kind of open youreyes start looking around you and the holy angel pr tric most women play cute looking but dangerous that is their secret weapon patriarchy the girls that knew how to play those dudes back then had it good already a feminine good looking women with low no morals is a true femme fatale amber heard almost got away with the whole lying she did lie under oath will she be prosecuted im afraid not so guys noah where is that patriarchy and mysogny youre all alkiing about,5,1
363,inane ramblings,1,0
364,hey guys do you want to know about female nature we asked a man homie touch grass,1,2
365,ooof you actually think people should be proud to be obese aka death by food most of my family is fat i literally starved myself so i would never be fat if your fat loose weight if your fluffy then meh if your anorexic get some fat thats how people should look at it,1,2
366,because starving yourself is totally more healty,1,0
367,not all body types are the same and being healthy doesn t necessarily mean everybody will have the same body shape you literally starved yourself do you think that s healthier do you really think that s healthier than being a little overweight,3,2
368,i like that you are outdoors sorry i don t have anything more insightful but i like that good vid,4,2
369,madonna whore complex is big in this one,5,0
370,if you ask for my time you should pay if i ask for your time i should pay we are not friends we want to date i think it s normal more times than often men are asking women for their time thus yes pay for the darn date she doesn t have to go on the date she s giving you time the roles can be reversed just say you want to be the lady and be taken out simple,1,1
371,hey ma get the camera it s a pussy version of ned flanders,1,0
372,i don t care feminist from tiktok are even much weirder and in real live feminist are from upper middle class at minimal case of eastern europe and also psychopaths lyers and manipulators often also xenophobic i know many cases like that i don t belive you at all,1,1
373,sarah i think you should reconsider,3,2
374,tbh most women are rather reasonable with the whole paying for a date thing from what i ve experienced and even discussed with women,3,1
375,your edits are funny af,5,0
376,these people are genuinely terrifying thanks for talking abt this another banger,5,0
377,in a hilarious twist of irony i think the specific kind of self hatred i possess kept me from being pulled into the incel worldview i check every demographic box on their target audience but every time i encounter their content i just sort of thought oh so that s why no women want me damn their smart good for them honestly and then went on with my life like normal,2,1
378,with the whole who pays for the date argument i think that you should either split the bill or whoever asked the other on the date they should pay,1,1
379,hmm the empath style no i rather not but that s just my 2 cents,2,0
380,there is much more to it than just choosing empath or asshole,2,0
381,does this mean noah is a simp according to redpillers,3,0
382,there s like a massive issue in the biology community i think that unfortunately helps play into this way of thinking animal behaviorists often liken how animals choose mates to how humans go about dating and they try way too hard to explain away all human dating behaviors as biologically inherent while some of them certainly are like dressing nicely for a date there s a lot that aren t and are just a product of how the society we ve built is structured those can t really be explained with biology but a lot of biologists do their hardest to try so when biologists are out here saying oh women will go after men who are older and have more money because they need a male to provide for them because biology redpill guys will absolutely eat that up it s a viewpoint that is really centered around how men feel in a patriarchal society and fails to capture any nuance in human dating or the reality of human lifestyles men aren t the only ones who put on a show for a potential partner s attention women do that too men aren t the only providers to a family women do that too it s just annoying how even biologists subscribe to this idea that a patriarchy exists for a reason and actively push for massively bioessentialist views on human behavior people might argue against this and say well something being biologically based doesn t necessarily mean it s okay and it s just a simple fact and yeah but think about what you are arguing for there that women are biologically just submissive and meek and peaceful and men are dominant and loud and violent and that s the truth that helps nobody and is transphobic and misogynistic but because it s biology people take it as fact and use as an excuse for shitty men s behavior and it just gives incels alpha male types more ammunition,3,1
383,why are they all black,1,0
384,why do you think that s a relevant pattern,3,2
385,women in comment section getting offended this guys are just spitting facts,1,0
386,a man paying for a date is out of a few bucks a woman having sex with a man exposes herself to unwanted pregnancy which men bail on all the time so the comparison is not weighted the same at all yet many men think if they re expected to pay that they re entitled to sex immediately i still expect any man i entertain to pay but it s not a guarantee for sex i also believe in meeting their needs if it s not too much according to my own standards both parties have the right to have certain standards there s no way i ll ever date a man who won t pay in the beginning cuz that s how i feel the interest,1,1
387,can we please stop calling them men they are boys toddlers at best,1,0
388,man i m learning so much about myself as a woman from these videos whoever knew,5,0
389,submission you gotta accept my terms otherwise theres the door ok i heard that from parents damn didnt know this isnt a equal balance relationship where both sides are respected and heard but more to that of im above you you should listen to me kinda relationship women cannot get enough of te male attention women ehove been having unrequested unwanted male attention sice literall childhood uh yeaaaah no women don t appreciate the journey that it takes to get to a point meanwhile so i just paid for dinner on our very first date when do we fuk,2,1
390,the cringe oh the cringe so painful yet so good,5,0
391,wow the amount of incels in the comments amaze me noah please block them or something and you really gotta start watching positive stuff i m saying this for you,5,2
392,i don t think you know what incel means,2,2
393,stay oozing empathy my guy,5,0
394,your moustache is shaped like little leafs and it makes me happy your videos are really nice too thanks noah,5,0
395,cool guys being dudes,5,0
396,isn t this guy supposed to be a socialist but is making vids based on sponsers even if they offer nothing insightful,1,0
397,socialism is when no sponsors on youtube video,1,0
398,_ you object to society yet also _ _partake_ _ in society _ _curious _ _ i am very smart _ no no you really aren t,3,2
399,best mustache in the game,5,0
400,i just wanna say that i really appreciate your videos there are very few men out there who are up to the task of bringing up the patriarchy the red pill and misogyny especially in a way that not only explains it but also provides a helpful male view it s definitely not an easy task but it s legit so needed right now props to you,4,1
401,i also thought during your ad read amazon bought a forest i was doing dishes my brain wasn t at 100,1,0
402,when he said some women can t give up the melatension i thought he meant melatonin but then realized he meant male attention,2,0
403,lol idk why it isn t obvious that the person that invites the other out to eat needs to pay and if you can t do that you have to specifically state that from now on ya need to split bills,1,1
404,ok it s official bomberman music is bisexual,3,0
405,it slaps so hard always nice to hear in the wild,4,1
406,you ve outdone yourself noah,5,2
407,has anyone seen my vagina bruh we aren t legitimately going to submit you re not suppoused to be serious and the look of every guy who says this to boot,1,1
408,i don t agree that men should always pay at all but pay for a date or there is no date is different than consent to sex or i will force it on you like how can those things even be compared,1,1
409,the best part about the restore dislikes plugin is that i can easily find out that 317 redpill guys watched this video and smashed their impotent fists against their desks knocking over their jordan peterson busts and causing their barstool hats to fly off their heads before mashing the dislike button,1,1
410,wow so funny,5,0
411,perhaps the sun s uv rays will disinfect these lumps of misogyny toe jam once noah has finished dragging them out into daylight,1,0
412,whomever asked to go out is typically the one that should pay if i ask someone out i would pay for the date if i get asked out the person that asked me should pay splitting is fine as long as you have communicated this when making the plans so nobody is unprepared without money honestly it shouldn t be that hard or that big of a deal,3,1
413,and who mostly does the asking men usually women are mostly passive daters you look like an attractive woman ill assume youve been asked out plenty and dont really have to ask out dudes if you want to but that is not mens reality if i dont approach or ask out women i will remain lonely even if im good looking plus not to mention that men who are socially dominant and lead and plan dates are seen as more attractive so i could say lets split or ask the woman where she wants to go but that wont make me seem attractive it should be that whoever asks out but it will still fall on men regardless,3,1
414,i actually do have a very reasonable answer to the who pays for the date question _whoever invites the other person s on the date is the one that pays_ so if you ask someone s out on a date it s understood that you re paying for the date and vise versa that way it stays pretty even throughout the relationship and eventually paying for the date will be seen as a romantic gesture it ll also still allow you your partner s to go on dates even if one of you is short on cash that month,4,1
415,wait hold on i just realised you re the editor for noel s channel lol,1,2
416,thanks noah i was always forgetting to say hey what s up to the cubans now i feel safe doing so,5,0
417,i m sorry i can t get through the first two minutes of this i have a complaint noah samsen is so attractive i cannot focus i m trying i m trying so hard i dont like facial hair at all usually and i dont even really like guys but i am frothing at the mouth for him someone give me rabies medication i just want to get on with the video but he is so prettyyyyyyy,1,1
418,excuse me nipelle,1,0
419,ngl the dude who said you guys with a chick and y all in a relationship i though said you guys with a chicken y all in a relationship and for a sec i was like whoah whoa whoah what s going on here,1,2
420,yo once that camel got split in half into an orange i knew this was going to be fire and lo it came to pass that i was fire,1,1
421,someone calling mathew hussey out wow this guy has a huge platform on dating advice for women and has been called for interviews on pro feminist channels like women of impact this guy is a women s dating coach and he just spreads poison he incentivates women to go after men he incentivates women to keep chasing after being rejected ghosted tells women to pay for the bill and provide seggs i remember him scolding a woman who was dating a guy and found out he was married so she exposed the dude to his wife mathew wanted to bite the woman s head off because the guy being married was not her problem and she was acting out of jealously,1,1
422,who pays for the date whoevers idea it was that s how babe and i do it which leads to sometimes i buy sometimes she buys depending on who has the money to spare at the time,3,1
423,redpill is really just working on youself to improve in as many areas as possible its not what 99 of the tiktoks in this video where just hating women,1,1
424,true and that isn t a bad thing becoming what you see as a better version of yourself is objectively good but it s mostly the motivations behind it the red pill originated on 4chan where it was used to describe a hierarchy of men where only the ones at the top get to be laid because something something women whoes as it quite evident if you search up red pill content most people that talk about it still believe that and spread that bs it hurts both men and women to see each other in competition if the entire goal is to find someone to make you happy,3,1
425,thoughts and prayers to the women of baltimore within a 25 mile radius of that black durag,5,1
426,as an autistic girl women having sex with whoever they want whenever they want is news to me why haven t i been doing that,1,1
427,as an autistic girl women having sex with whoever they want whenever they want is news to me,3,1
428,lmao that first video so basically us women are for the streets if we don t submit to controlling creeps hell nah women are starting to be respected more brotha we ballin,2,1
429,i wanted to sit here being angry but your humour stopped that thank you,1,2
430,why is masculinity itself synonymous with domination,1,0
431,it s not although historically it has been for the wrong reasons,1,0
432,these dudes are gross,1,0
433,no u are,1,0
434,i really don t get the who pays for the date debate is this an american thing where i m from we argue in a kinda ritualistic manner about who gets to invite who as soon as the bill arrives eventually somebody concedes but only under the condition that he gets to pay next time not only on dates but in general everything else would seem kinda rude,2,1
435,i appreciate ur mustache and ur love of celeste,5,0
436,i love your channel because you look just like my baby brother only if he wasn t a raging misogynist,5,2
437,ummm sensitive men are my absolute favorite please tell me all of you struggles to unlock my heart thanks,5,2
438,this is like a how to guide of being a douche,5,0
439,this is like a how to guide of being a douche,5,0
440,he actually started with no big bro so you want her not even to have her brother in her life because the way you plan to treat her you know any respectable man would whoop your ass noted,1,2
441,usually my tip for the alpha bros is to date women they like who also like them it seems they ve never tried it,3,1
442,i actually watched the entire ad because i started to feel nauseous with what he said i m going to go get some ginger ale so i can stomach this entire video so disgusting,1,0
443,i dont like how you mock these guys they need help and love but get rejected by society in so many ways they just feel hopeless including a video like this we should help them instead of mocking or debunking them i too was almost an incel beta and was at a really dark place i now try to help these guys to get out of it and get goals in their life there are way more societal problems going on with the incels and male loneliness bit just mocking and debunking them like this is just a tip of the iceberg,1,1
444,they all clearly watched read waaayyyyy too much 50 shades of gray grey,1,0
445,i saw the british guy at 1 05 and was surprised i thought he was a dating coach for women and i used to watch his stuff but i guess he went down that path don t remember his name though i also just realized i have the same wolf poster that the tom and jerry guy has in the background ooof for me i guess also i think that when your partner cannot express their emotions it just makes you feel guilty for expressing your emotions anyone who has any emotional maturity knows this i do feel bad for men that they have to be strong all the time when that is impossible you have to have someone to lean on from time to time and that absolutely needs to be normalized like yesterday and oh boy they brought up the whole women can fool around when they re young but not as they age bs these guys actually think that they get bette with age from where it s like they don t listen to women oh that s right they don t also if the person i m out with is more concerned about who is paying for the date than actually getting to know each other then i m not going on a second date i think coming to the realization that heteronormative people are obsessed with this made me 100 for just going dutch a date is about looking for a future partner that you can relate with it s not about bs narratives about who should do what equal is fair and no i don t want someone thinking they can hold that over me and say that i owe them screw that noise,2,1
446,i mean this in the most constructive way possible very little of this was debunking and it s largely taking obtuse interpretations of what the red piller says while giving armchair psychological analysis of the content creator then of course deriding the red pill opinion i m only commenting because you quoted bell hooks on how society enforces patriarchy including feminists while essentially doing the same thing last note while i disagree by and large with much of what the red pill guys say they re note wrong all the time for instance yes you actually do appear better to people if you avoid gossip and can compliment adversaries that s bde but he was wrong in creating a technique out of it that s not how that works and you were wrong in being obtuse as if he was saying a man should avoid giving genuine criticism when it s important to do so he legit said gossip anywho i actually love your content i just think you could benefit from being more persuasive and less preaching to the choir,2,1
447,what i took from this is that tom and jerry must be stopped because they banged my partner too,5,0
448,what happened in these men s childhoods to hate themselves and women so much,5,1
449,as an enby im too broke to pay for the date 3 and thats because of my gender j,1,1
450,that was nice,3,0
451,as an anarchist i feel called out by that dine and dash comment i still tip though of course,2,0
452,so if a woman has male friends she s for the streets,3,1
453,outstandingly outstanding also funny thanks,5,0
454,i love your editing sjdkdk it s so funny i love your vids,5,0
455,people like to blame the whole notion of men aren t allowed to cry on woman as a way to say hey look woman can be bad too as if we don t already know that and act like woman created that standard when in reality men pushed that standard on themselves and then took it out on women men show their feelings a lot more it s only men holding them back,1,1
456,bro every time you play maplestory intro music i wanna download it again good video,5,2
457,i kinda agree with the last guy ngl,3,0
458,actually being submissive means ur in a healthy relationship,4,0
459,whomst do you submit to,1,2
460,clearly im for the streets,5,0
461,is that fucking bomberman hero soundtrack in the background or am i crazy,1,0
462,it is indeed,5,0
463,why can t people just get high and mind their business this guy is on a stage talking to a crowd about something that i d very subjective and quite frankly a load of shite relax man get yourself off stage and just enjoy some weed this summer mind ya fuckin business,1,1
464,idk if it s pretty privilege or what but i subscribed right away,3,0
465,at first i was not a samsen fan because i thought his comedy was a bit too derivative of tim and eric awesome show great job but it s definitely grown on me i enjoy the content and am glad to see him addressing unhealthy ideologies and rhetoric in a lighthearted way i particularly like to see him quoting authors who have written more extensively about the topic rather than just sharing his own thoughts and opinions on the matter i d like to see him continue to grow in that regard,4,1
466,for the love of god if you are with someone that you feel like you have to hover over them then don t be in the relationship,5,2
467,what about their bs has to be debunked no offense meant but that s like debunking creationists sure you can do it it s easy but in the end any sane person will see right through their ramblings while everyone who doesn t spot their cap is too far gone to be impressed by stating facts,3,1
468,i pretty much agree with this but i can t think of how else to deal with the fact that these channels continue to grow and appeal to a lot of young men like ignoring this problem won t make it go away that s just my reasoning at least,3,1
469,have my popular internet culture relatableness baited comment as i express my appreciation for the celeste piano riff as a meme and slide transition noise 3,4,0
470,yo celeste music have you played celeste,5,2
471,i haven t but i ve watched streamers play it and loved the soundtrack lol,5,0
472,1 15 maplestory login screen music,5,0
473,thanks well said,5,0
474,actually incredibly informative video i mean i always knew that sexist manoshpere guys were bad influences and mean people i always knew that and didn t like them but this video talked about why they re wrong and i know it sounds stupid right cause they re sexist which they are but it just really helped highlight a few things for me keep up the good content,5,1
475,woooh this was a ride,5,0
