,SHNECKO,STEPHISCOLD,RUSSELL BRAND,TOM SCOTT,NOAH SAMSEN
214,that soy shit is cap,check her phone you will see everything you need to know,if women need empowerment then why men are having a mental crisis,freddy oh god hey these things don t leak do they frank leak hell no these things were made by the u s army corps of engineers,i feel ways about this im just gonna say thank you for existing noah thank you v many
215,any female born after 1993 can t cook all they know is mcdonald s charge they phone twerk be bisexual eat hot chip lie,they delete apps and reinstall them when you aint around seen it,i get goosebumps from conversation this stimulating,what about birds spreading eggs about easily done,this is only my second clip of noah so i might need to see more to have a better conclusion but so far i feel you have the best intentions of wanting to shed light on the problems the manosphere seems to have especially the relationship misconceptions with women i applaud you for the effort i ve watched red pill content but always with a grain of salt as i could never agree with everything they say or their approach to relationships they do however bring up some of the double standards and unfair expectations society has for men to which i can confirm from my own experience that being said looking through the comments it seems despite your best efforts to bring a healthy light on some of their problematic issues the praise of your positive intent is a bit overshadowed by the glee of bashing the subjects of your analysis not your fault at all but the comments very much resemble the comments on some of the redpill content creators i ve watched youtube is full of echo chambers so this isn t surprising but folks that watch seem to have their hate of the content creators validated and then basically high five each other and go yeah they suck collectively its all just the same stuff a group state their beliefs and ridicules those that don t share their beliefs then another groups responds and ridicules them back and vice versa i still will watch more of your content cause you re funny and have good critique just don t know if your audience will lean more pro positivity or more collective bashing not that yt has any shortage
216,9 20 if the migrant was actually muslim he wouldn t have been gay,factual claims,i pray that god blesses you gentlemen thank you for having this amazing interview and for blessing us with it,great video very informative i hope the carp never reach the great lakes that would be a disaster for the native fish,make your woman submit huh well guess what redpillers im dating a femboy parry this you fucking casual
217,honestly muslims dont want anything to do with libs the left lgbt or the democrats,you only 22 i thought you was like 26 or 27,how about samantha s mother in bewitched,design newer barges that can transfer their load via a docking station to another waiting barge on the opposite side,noah s comedy here is really top notch it feels like a step up idk why
218,finally someone talk about this,this guy 22 and im 21 and i dont think i ll look like him even by end of this year,what a great conversation,install this in the rio grande,dude saying we gotta care less than she does looks like he s about to cry this man is hurt and needs help
219,hes not white bros,rorisang pitswane it has to,i just can t sit here and listen to that accent for 8 minutes i m sorry,so if a bird accidentally drops a carp upstream before killing it this would all be for nothing,to be honest i used to act quite similarly to these lads till one day i just decided to fix up i guess i started training and got myself a good job that i enjoy got a lot more confidence in myself then soon after i suddenly had women being interested in me funny that
220,bro i m tellin yalls kids be cutting off them legs to get the handicapped parking spot and teachin them kids it s ok to do i feel bad for the people who actually need them cuz then stereotypes fuck em over and idk who to hate anymore and then you got the people that can t tell the difference and start supporting bs,they love toxic shit that s why they love watching shows like love n hip hop basketball wives,i think that this one part should have it s on episode 9 00 is not enough time this should be expanded upon and broken down even more this made so much sense and is very true in our current society as a whole love your work i will definitely continue to watch your show thanks for the content,can i drink it,i appreciated the nazi zombies reference noah
221,wait so soy y all mean like the sauce can effect me too god damn what am i gonna have my chicken with ranch,basically the truth is the opposite of what she tells you,stong father figure is something we all need in our life,i think there was a dirty jobs episode on this many years ago,cut the sex off and he ll run out of things to say no more whining
222,no it can t they re lying soy in itself is not bad for you,4 40 4 44 is facts my ex was exactly like that,may have to listen to the rest because this snippet was to vague for me,who will win the barrier vs one memer releasing some carps on the other side this is in no way a permanent solution,weird how mad some fellas in the manosphere are about holdovers from the good old days they re advocating for
223,good point but how tf do you get faster,this some og stephiscold,i liked that he talked about the overprotectived mother or whatever cause my mom is kind of like this ive moved out at 20 and because im the baby of 3 shes been having a really hard time letting me go but shes goteen better at it overtime,i was expecting some large bodies of electrified carp floating amidst the river i left disappointed i m hungry,bruh really now redpill tiktok that s legit complaining the trash stinks in the heat few things good come from tiktok on a good day when you re looking for trash you re gonna get trash hell being explosive meme able trashy is how people get views it s why people wanted the site as a whole taken down besides of the whole data mining tiktok is brainrot since it is made to hit you with a deluge of content and keep hitting you with it
224,paul joseph watson is the man,fellas just focus on yourself is that simple,ive seen his name on youtube for so many months now and idk who he is i know hes in the man o sphere thing,seriously they use thousands of taxpayers dollars for something that can be achieved by encouraging local fishermen to hunt them into extinction if there s anything humans know how to do it s cause the extinction of a species,noah is the compassionate leftist that we all need to be more like
225,because it will be easier for eastern powers to take over,toxic guys are winning and there s no way around it,the harry potter mention and glee they drew from it made my day,i just pictured aquaman down there saying look an enemy vehicle approaches quick throw these fish at them,why do half of these alfalfa boys feel the need to yell at the camera
226,they might be watching this rn hahahah and might be thinking of a good comeback video,yeah maybe you guys should date eachother,there is so much variance in masculine feminine qualities in either men and women that it is fair to say we are equal furthermore these roles may completely change in different cultures suggesting it is socially constructed there is no need conform to some prescribed identity role except to fulfill some societal traditions or customs identity can be as unique as you want though fluid in its adaptation to society,i know this is off topic but i just rickrolled by n ad,every time a red pill alpha male talks about evolutionary psychology or gamifies dating women it gives me this weird feeling inside like men think women have this internal monologue constantly running telling them how to act around men what to do what to say instead of y know having normal thoughts of a normal person like any time a man talks to me my brain is running all these calculations about how much money i think he has and whether he ll be able to produce strong children or whatever the fuck it s just weird
227,15 14 respect,they love that toxic shit tho,jbp talks masculinity with russell brand russell with a man bun someone gonna tell him,i love how at the start a fish just launched into the air,i m new to your channel and was just feeling out the vibes for a few videos but man that tankie joke got me okay i m in
228,dude save the future,my guy back at it keep rising fam,where s the other 3 hours of footage talk about scratching the surface,just put a net in there,in the long run men are gonna marry who they want i m reasonably certain an overweight middle aged unemployed obnoxious dude is not gonna be able to marry a 22 year old supermodel also these guys are obsessed with marriage i get it but its kind of weird
229,5 30 he slipped and said the n word,their body language speaks louder than words that are coming out of their mouth,mary poppins is the goat of positive feminine arch types,he s out of breath,i feel like whoever asked the other out on the date should pay for the first date then go back and forth on the future dates
230,bro he s half filipino and half black,always remember fellas she s not yours it s just your turn,8 10 lysa arryn from game of thrones literally breast feeding her 12 year old boy from her throne,ya wanna see those carp disappear pay people 1 for each carp they catch they ll be extinct in a decade,new podcast cool guys being dudes
231,hes not white tho i m black btw,going crazy bro i see you man i see you for real,russell brand is that stoner friend of yours if he was actually as smart as he thinks he is great stuff russell,we re starting to find asian carp in the scioto river this year in central ohio clearly this isn t working 100,noah your editing style is my actual favorite i jus wanna be like u
232,legit question i dont understand why to drink bottled water vs tap whats the thing with tap water,this hurts bruh i know it s true i m crying dog,as expected hierarchies are invoked rather quickly why does masculinity have to be described in the context of a hierarchy,easy solution release great white sharks into that bish,that whole tom and jerry bit was cool but are we gonna ignore the fact that he said no big bro does he think his girlfriend is gonna cheat on him with her brother
233,can t wait to see you at rumble,he is speak the truth right now,what s the point of platforming this fraud dave rubin levels of grifting on display here,of course they did no limit to human stupidity,that s not the same thing at all the guy who feels like he has to pay is not the same as the woman demanding the man pays it s the same as the analogy about expecting sex it s very lopsided both are influenced by the way society expects things to be but only one of them is benefiting from it i understand that it s because of the patriarcy but it s not the same
234,where tf have i been since when did so many men start consuming soy products and why,clicked faster than a beta at a woman s disposal,young men need role models and unfortunately there aren t as many in local communities and in the media the message of what a man should be and how he should act is completely shattered luckily there are y few channels that share useful messages like jocko podcast mastery order order of man jordan b peterson if you are a young man searching for answers and looking for a role model share and learn these messages and if you were lucky enough to have a great role model in your life share your knowledge so that others can benefit as well become a great man that can be trusted and relied upon cheers reader,anyone else remined of super mario sunshine here,to all the guys hating on red pill ask yourself this question does the creator of this video look like he d ever have a chance of sleeping with a 9 or 10 case closed
235,props to you sneako,facts bro,i think people should realise that you dont have to follow anyone be yourself dont be afraid to do feminin things and try to socialise,just what we need on the rio grande stops invasive species,i m not feeling the will to change here it s putting way to much emphasis on women being at fault for toxic masculinity
236,am i trippin or he said the n word,i ll never stop watching ams and stephiscold endless knowledge sometimes you don t retain all the information the first time so you gotta keep watching,over protection of males happens in asian culture for sure,couldn t they do it during covid 19 lockdown traffic was lower so car and traffic jam wasn t the issue anymore,i petition these guys safe other men since they hate women so much
237,taking your wife s last name is only acceptable if you have a embarrassing or bad last name,i listened to what woman says like for real and saw them as equal person to me jeez then i took the red pill and woke up i look back and can t believe how stupid and blind i was back then,i understand they are both talking about masculinity but i think peterson brought something very important to the table of parents letting children fail in order for them to create a mental pattern for them to solve their mistake or try to find a reasonable enough conclusion on how to avoid that failure in other words learning,love your videos,8 52 is he talking abt lesbians w comphet rn
238,but have you tried vietnamese soy milk,dang bro i remember being nervous and said to myself they re just female turns out the word female was a whole story with female nature and sh woke me up for real i m having some second thoughts like red pill rage or something but i m still learning and improving,petersen thinks assertiveness power equates to masculinity why can t femininity be assertive why does a woman have to borrow from masculinity answer bc jp can t think beyond gender traditions,carp are in lake superior,00 33 i watch all those channels
239,my ma has breast fed me untill i had teeth cus i just bite her so first she gave me formula 1 day passed and she understands that i was growing breasts she threw all that formula shit away and started giving me goat milk from the family goat now im tall blonde and with a deep voice,a fish will never teach you how to catch fish take what women say with a grain of salt they backwards,exactly it reminds me of when peterson was talking about why women wear lipstick the only reason he could come up with was sex based he lacked the intelligence to grasp there s also a wealth status symbol factor a communal factor and most obviously an individuals self expression he s just so cringe worthy,it s to keep me out,hey noah i appreciate the nazi zombies reference but i don t want to get engaged man love you tho
240,just discovered you holy fuck you re based,do the opposite of they say,6 19 cool russel brand,hey bud your in the fuckin usa we don t size up fish in kgs we use lbs,not the strawberry elephant
241,natural selection should get rid of all male feminist blue pilled soyboys,i ve had a female tell me that before bro she was giving me choosing signals so i approached her and said what s up and she said that she was starring at me because she wanted to snatch my soul went to her crib and got my soul snatched 3 days later,men need masculine energy from society but here s my theory feminism is inescapable it s crossed all types of establishment from university and work etc i used to think feminism was important to help allow men to better understand the emotions of their significant other or someone they re dating and to some extend i believe that is necessary so that men can understand if a good woman is not ready for sex on the first date and the man continues to push getting sex out of her till she sub misses the idea let s not kid ourselves it s rape however my stink for feminism indirectly allowed women to believe that being a woman gives them all the privileges and none of the responsibilities of being an adult,organize a competition of best carb rescipe and let people fish them freely at the very lease get them minced up and use it for animal feed human will drive it to extinction,you were not taught correct
242,funny how hasan charles and that bearded police officer sounds just the same,be solitude,men with buns in thier hair have no business discussing masculinity,now this video is up your bound to have at least 1 kid go fishing for 2 carps and then dump them the other side just for the fun of it,why is the camera angle for 75 of these dudes straight up the nose holes
243,the world is doomed if majority of men are like those liberal soy boys,yo steff i really believe this and nobody else says this tying into what you said about women not counting the other 30 guys and only counting 3 or 4 or whatever women like how people push out forget trauma i swear genuinely forget push it out their minds and really truly think like instead of the actual 80 guys they think its like 15 or something some real weird sociopathic kinda stuff these women be doing maybe something to do with how they act all innocent on the outside know that society family other women etc likes to say insinuate women should act appear to act a certain way so they all jefferey dahmer sociopath style push it out their minds like it never happened and they call us pigs f n whack jobs,what are women doing if they re not watching youtube submit your answers below,that s not the army,i d really love to see you cover this topic from the flip side though if you really wanted to make a great video that stands out make one about good guys who do a great job showing how to talk to women talk to different men about how to field and what s appropriate in different environments there s a ton of content to go into lots of guys desperate to hear it and you d be doing a wholesome service that fits with your base
244,i feel like the more and more videos people make on you that s just gonna be an easy sign for youtube to see and just ban you for no reason and i am also confused as to how you have haters as i haven t heard a terrible take from you and was a little crazy to see normal people excited and happy to see you beat up in that video those people always use harm as a solution never understood that,word they lies become thier truths,russell stays using big ass words lmfao,so why is it the army not the marine doing this why do people doing this need to know how to use weapons navigate war,look man if you need fucking tutorials on how to talk to women then you have to be working on a lot more stuff it s simple talk to women like they re humans like you re equals
245,aint no way 9 04,keep it cold they always going to be backwards,it seems like the focus gets lost in the aesthetic more than the motivation behind the action example frontiersman and tribesmen back in the day had to frickin build their own homes survive brutal attacks from hostile neighbors and work eighteen hours a day just because a modern man doesn t bench 300 pounds shoot a gun with deadly accuracy and whatever else doesn t mean he s not doing the same things protecting his family building a home and earning a living,carps are tasty af,this whole channel is it s all mens fault women do wrong only because of patriarchy sheesh
246,sneako ignore my pop but when you do the high voice thing and get really emotional weather its annoyed angry be non bias and professional and everyone can take you more seriously take after tate he can be completely chill yet exciting and get a point across hope you see this and ignore my spelling im eatng rn,in louisiana we call 304s 504s,the trinity in ussr was marx lenin stalin not mao,7 bill fish 16 bill usd boat industry,3 minutes in and 4 ads and an ad read that s fucked
247,it may sound weird but the evolution obviously skipped theese mothrfucke s how do we deal with them they are real threat,in chinatown we call them 604s,not to nitpick but there s no way youtube audience is 80 male i don t know of any female who isn t a senior citizen who doesn t watch youtube,idea how about a lock where after its closed you put toxin in keep it for a while then filter it out again and open it on the other side or is it not possible to filter out toxin,i am a late gen xer on millenial cusp i was always under the impression if a guy asked me to dinner or to see a band or movie especially if i was broke would make a little joke that i thought it was great but couldn t afford it which was the truth because i didn t want them to expect i thought they had to pay some guys would be a little hurt bc they wanted to take me on a great day i m an empath as well guess as a human it sucks to be nice
248,sneakos discord is the biggest joke guy acts like the pillar of red pill freedom of speech yet the staff there and amount of lack of speech is insane,eating my ramen to this,the whore of babylon in revelation the devouring mother,on this scale its defnitly not easy to fully filter out toxin even the smallest rudiments could accumulate and cause ecological damage downstream,thank you for making the world a tiny bit better in your own way
249,you used to be more articulate persuasive and sober before your brain is still high tier your direction right now though is polarising,do yo call them out when they say they ain t have sex in months,if you would ve told me 10 years ago that i would be inspired by the intellectual curiosity of russell brand i would ve told you well ten years is along time to wait for that,what s stopping bird from picking up the carps and dropping them on the other side,man shutcho ass up why is every unfunny commentary youtuber so damn liberal
250,l on taking your wife s name unless you re marrying into money,cold g,for fucks sake stop overthinking life just take care of your family wife husband boyfriend girlfriend siblings parents children and your friends don t be an asshole either and enjoy life easy as that oh and always strive to be better that will certainly help you and especially don t over complicate it if your not a psychologist or something like that trust me its not a good idea,the fools on here are stating the fish cannot get through this chokehold due to electrified water as a train goes right past only 50 ft away did you get a close look at the engineer on the train that passed slow it down and look again not gonna rat em out but that engineer was lookin green in the gills that s all i m sayin stupid they think they stopped the carp,10 56 women will never happily be the bread winners while you sit on your ass all day playing video games so why even bother
251,when are you getting leafy on,itz yo boy steff,i think russell brand is a good guy but hes not all there i think drugs did their damage,honestly with the weaknesses of this barrier i think it s likely that there is a carp population in the lake already it just hasn t gotten to the fast part of exponential growth yet,i like to laugh at simps laughing at incels it s very meta
252,why western men are becoming feminine,intro song,the same can be said for peterson considering he was ruthlessly addicted to pills for years his addiction was so bad he had to be placed in a medically induced coma mr clean up your room and do the responsible thing was a a low down junkie,i give up the usa is just hopeless,no tom or jerry i m heading to the streets now have these guys even talked to a woman in real life the 40 year old virgin club
253,look at his manly mustache and look at sneakos pubes stache he looks more masculine than sneako no cap his behaviour is weird but rage streaming is immature sneako your the most lit streamer for children and incels,like lil durk said don t ever put your all into a bitch cause she gon leave,i love to sit on your show or even do a pod cast to shed a lot of light on rather one to share common knowledge and me my self i have an way way over protective mother my ex who i am not allowed to see i dred the thing s she is putting into his head and raising our child alone,i thought fish eggs could attach to birds,make your own content emasculated loser
254,9 44 this study was performed on rats or mice where they gave them insane high amounts of soy no human ever consumes these amounts of soy and there are no definitive human trails where a lowering of testosterone or sperm count has been observed soy actually shows health benefits when consumed moderately asian cultures have been consuming soy for ages and before the western diet got introduced to them they where healthy af i m talking about natural soy here not gmo soy that is also sold in the us,it seems like most of the stuff you teach about women go hand and hand with building a business to a certain degree,thank u russle thank u not being properly honerd well sed,those fishes could feed millions of people,i know this is besides the point but what makes the most sense to me is whoever asked the other out pays also splitting the check to me personally is strange but i honestly think that i think like this bc i m mexican and food is a major bonding point so people fight over who s gonna pay the check in whole
255,was looking for this comment thanks,what do you use if you are doing a voice over for video,how amazing is jordan peterson when he s not being attacked by rabid people with victim complexes,if all it takes is 2 small fish to get through which apparently can this is a multi million dollar delaying tactic nothing more wow,who s fighting lol just pay
256,right people should stop spreading misinformation about soy,women dont stop liking toxic men until they run through about 5 of them,to russell in regards to the feminine being most commonly used to sell a product or an idea is for me is that the masculine is widely being presented as toxic and maleness is an oppressive bad thing so we now see masculine products being sold by females who are perceived as good and giving the feminine ok to this product just look at the gillette razor adverts that blatantly denounce masculinity while trying to sell products to men women are now the only ones that can be trusted to promote male products as a male selling the same product or idea would be attacked as being toxic or untrustworthy this is also why it s women are trusted to defend men s rights and speak up on behalf of men as men defending themselves is also attacked by the anti male community as toxic this also i think accounts for so many young impressionable boys that don t want to be men when they grow up due to the social vilification of men and maleness by the overwhelmingly female education systems,talking about invasive species these people who electrify and electrocute the fish are invasive species themselves up north as an invasive species they had the nerve to nail the tongue of the indigenous species offspring to the table simply because they refused to speak the invasive species language i can really see the destruction of the ecosystem such an irony some people should really take a hard look in the mirror,question from an old woman how do we have so many man babies with arrested development legit question is it all just a grift
257,it s not just soy but fermented soy fermentation in some vegetables has amazing benefits but it might still effect people with sensitive endocrine systems soy is one of the natural foods that are too volatile for human endocrine systems,i see women past 45 that stay wanting toxic men they ll never stop wanting them it s in women s nature to always respect drama dudes,is russel smart or does he just have a british accent we may never know,block the canal build a crain lift belt like a lifting bridge but different that lifts taxis the barges over the wall,both tiktok rewards that type of video fast explosive direct it s how people make their money over there say or do something wild and hope it catches the wind keep up stuff like it hope you don t get banned and make some pocket change
258,upload on rumble as well as youtube then slowly transition over there you know this isn t the last ban,how you haven t blown up and gone mainstream is beyond me hands down the best advice for men i ve ever heard,really happy to see russel have jordan on i absolutely hate how much crap people give jordan peterson in the media and on sites like reddit he s obviously not some bad guy who s trying to steal your sons and convert them to the far right jordan is hardly even right wing i don t even understand why he s labelled as the far right,why do you think there is a flow in the canal its a river which means damming it,caroline i feel ya i have no idea
259,red meat gets pumped with carbon monoxide known poison to keep that red look on it meat is dead so therefore the decaying process started once the insides were exposed to oxygen,aye a broke nigga just got a free ass book thanks steph,loved this more fashun pls,just put nets it is not like they re dinosaurs,the thing with the paying for dates is that it s from back in the day when women didn t have money of their own so obviously the guy payed
260,i agree with the muslim ban too sneako,what s your thoughts on dr dre getting divorced,wow i m female and i spend a lot of time on youtube jordan peterson just explained what my mother did wrong oh my mother did that wrong too,the way to stop it is to purge the entire river width for 50 or so yards with nitrogen the nitrogen will displace all oxygen in the water and the fish will not enter the 50 yard zone for lack of o2 simple no harmful pollutants and easy to pull off by the way the illinois river also drains into the mississippi,not completely and it s paid lol
261,i m here for the brett cooper simp videos lol i don t even know what this channel talks about other than that haha from the comments it sounds like we got some everymans man pep rally shit goin on lol just ring me when we got more brett cooper comedy lol,this why meeting girls in person first i s better cause you get to know who they really are dudes need to stop using social media to meet girls you can t believe half the stuff they post,i think masculine and feminine have been perverted twisted and manipulated by modern and post modern society both elements of the yin yang are being subverted and disrespected and both men and women are victims of this fact,shout out to peoria,very good i will probably subscribe
262,i think it s a city thing i m from philadelphia and people say the same exact things that they say to you to me i m loud i m angry i m mad something s wrong with you blah blah blah,1 2 more like 99,i taught my son how to cook clean and balance his checkbook before he left home teach your child independence personal strength and not to listen to other people s opinions of who you are and what you should be be true to yourself first,i don t care because it s funny,i think that the man should pay for the date but by the man i mean the patriarchy
263,especially you bro you are coping and also feminine,dr dre divorced his wife and she getting 400 milly,yes we teach our sons this and of course we should but do we teach them to do diy work on their car fishing hunting and be able to solve problems that our granddads used to solve not so much and the girls can as usual do as they want,it makes you wonder if something similar could be used off beaches to prevent shark attacks obviously safety would need to be ensured i have thoughts on how but smarter people than me i am sure could come up with a safe and effective method,right first off anytime a man speaks about his feelings they are used against him and no one gives a shyt anyway so why bother any time i have opened up to another person i have always regretted it later secondly about the whole relationship thing not everyone is even meant for relationships if people want to live their own life how they like for their own reasons what business is it of anybody else s lastly we have reached the point where true understanding and compromise is impossible and i have resolved to simply stop caring about things that don t affect me personally doesn t affect me then not my problem popcorn
264,shneako looking like he is on 3g of white powder,ik y all ass didn t really turn yo phone upside down to look at the 3 or 4,great life lessons truly important stuff that just isn t taught in schools way to go,if they can place toxins in the water to kill all fish and there are no long lasting effects they should use this technique to eliminate every last carp they they can reintroduce the native species of fish and put things right again,maybe find better people to be around me my family my friends and my lover talk about our feelings a lot and it gets personal often and at times dark dont blame society like this when its clear that the people around you aren t healthy and or mature enough to have these types of talks
265,you need to get out of the house my g,there are living in la la land man alternate reality,the most masculine men have a feminine soul the most feminine women have a masculine soul dr cg jung,why not let people fish them more than usual the carp market would go down but hell you got you some fish outa your lakes,it s such a stupid thing to say that women don t marry who they want that s not even slightly true not even a bit this isn t 1889 women don t have to marry who we are told to anymore men ask typically and we say yes or not men are still the ones doing most of the asking for sex and for marriage we are still the ones answering their request
266,what does refugess have to do with this,alternate reality word,devouring mother best possible example in pop culture pink floyd mother context is lyrics check out the song mother do you think they ll drop the bomb mother do you think they ll like the song mother do you think they ll try to break my balls ooh mother should i build the wall mother should i run for president mother should i trust the government mother will they put me in the firing line ooh is it just a waste of time hush now baby baby don t you cry mama s gonna make all of your nightmares come true mama s gonna put all of her fears into you mama s gonna keep you right here under her wing she won t let you fly but she might let you sing mama s gonna keep baby cosy and warm ooh baby ooh baby ooh baby of course mama s gonna help build the wall mother do you think she s good enough for me mother do you think she s dangerous to me mother will she tear your little boy apart ooh ah mother will she break my heart hush now baby baby don t you cry mama s gonna check out all your girlfriends for you mama won t let anyone dirty get through mama s gonna wait up until you get in mama will always find out where you ve been mama s gonna keep baby healthy and clean ooh baby ooh baby ooh baby you ll always be baby to me mother did it need to be so high,makes you laugh they want folks to lessen their power consumption all whilst using loads to solve problems they made humans an animal that got worse pretending it s not an animal,have you tried to roast them red piller live myron is doing a podcast every week or so or have you tried debating better bachelor or steven crowder perhaps or christina h picking at some low hanging fruits from tik toks doesn t make you any better as a matter of fact this is the same behavior as them pick a random video and start ranting and never give them a chance to reply or defend their points all this really does is virtue signaling to females and appeal to their vanity quite disingenuous really
267,i need to check my testosterone at least 3000,if she s not giving you anything don t stick around for her dry words because the longer you wait the more she sees you for the simp that you are they are such savages they will text you good morning after they just got dug out by a dude who didn t even kissed her goodbye,we need more brave and heroic men like this society has been missing it for awhile now,have you thought about a net,i ve said this in some other videos of his it s why he been called out by some breadtube people noah is legit a part of the very problem
268,is soy sauce the same lol,but what s wrong with that i would appreciate a good morning here and there lol,masculinity is being driven from all aspects of society and will continue to be so until the day it s needed,i feel like a dam and fish ladder would be easier,_ feeeemaaales _
269,how do you not have a million subscribers,i got this bih in my rotation shes straight up always saying she like me i make her shy she s submissive but she real flakey at times so i hold my ground she a 10 10 colombian i don t get this bih,the thing i like most about russel is his openess he plays with and explores with ideas he doesn t seek moral superiority and he s not judgmental at all i don t agree with him in a lot bit he s an honest person searching for the truth,pc to an external monitor and i m watcnice tutorialng tnice tutorials video on one screen and working through exactly what michael is doing and it is a big,the video was good until you said zelensky
270,good meat pause,she probably testing you to see if your gonna get attached be careful brotha just keep firm,easily one of the gayest conversations of all times,why is carp such a funny word,lmfaooo the tom and jerry part definitely made me loose it
271,just got my moobs cut out cost hella money and my confidence as a kid and teenager it s been 2 weeks hasn t fully healed yet but my confidence and posture is up like it should ve been years ago the estrogen and high prolactin levels on top of being raised by women and being addicted porn is what s killing our manhood,hahaaaaaa i totally hear ya bruh,this channel is falling into the age old conservative grift it s sad to see,what i dont understand is how this is harmful other things lived there now carp do natural selection,so i used to have a friend who had a crush on me and we were pretty close i didn t know she had feelings so i was oblivious the whole time but we were friends since middle school my boyfriend knew but didn t try to make me stop being friends with her we called eachother wife as a joke and he politely asked me not to do that but that s it he didn t say if you loved me you d drop her or anything ike that we eventually stopped being friends and he told me he trusted me so he didn t worry about it at all i love that guy
272,im 17 and i have moobs idk what to do,hi steph thank you for your content i really enjoy learning your perspective and teachings i apply it in my life now i even get hype myself when you yell through the internet on getting on our passion and purpose radical self mastery your message is deeper than the surface have a good one,jordan looks healthy glad to have him back,so the billions of dollars would be wasted on someone ignorant enough to just up and dump some live carp into the great lakes then huh,matthew is not red pill idk why you d include him
273,how dare you white soy boys why they gotta be white oh that s right most of them are white i think destiny is their leader,wat up james harden i mean steph lol,this might be the gayest thing ive ever seen,are they not ediable,in the next part of matthew hussey s video he says that if a man doesn t offer to pay he wasn t raised right i ve seen people respond to the video more than once
274,fuck soy tbh even on a cut i stay miles away from the stuff soy souse doesn t count right,facts but you re talking about full on hoes every girl has hoe instinct and wants multiple males but after a certain point women do want an alpha male to settle with and at that point cheating isn t an issue for a lot of relationships even on the women s end the difference is that their version of hoe ing out is just leaving you but if you re alpha during the relationship she ll stay cuz everyone wants to settle eventually if you don t you re fuckin weird,even if you don t agree with russell you have to respect his thought process i ve got mad respect for him now the gears are definitely turning in his head keep up the great work,do the us army core of engineers not wear uniforms are they part of the regular army,that stupid quote about marriage and sex in men vs women is so dumb and makes you come to the only conclusion these guys wives are settling for them not the flex they think it is
275,put this guy in a debate with destiny and watch how quickly sneako resorts to simply rolling his eyes or making smug generalisations rather than engage in a mature discussion,because they are all toxic themselves man they just concealing it when they met you then turn into a exorcists afterwards,no i m right no i m right just an offering of ideas and arguments about those ideas with the genuin want to get to a better understanding of things i think those two are some of the people with the highest developed form of communication culture,everyone minding their own business and having a normal conversation me a complete stranger wanting to listen to what they re saying 0 03,do you ever think that this kind of roast the incels videos from bread tube only bring validation to the red pill manosphear fandom by validating the underdog image that they so often try to portray themselfs as
276,these guys are in the entertainment business they all do it destiny does it too destiny d rider,this guy is funny as hell looool,russell is starting to look more and more like peter sutcliffe,tom should swim in it,mwaa goodbye god no ah where was my consent for that one not in your earholes the nerve of this ma uh du um jerk anyway love you noah mwaa
277,why is it the only ones labelled insane misogynist etc etc etc that actually have any integrity,they fear judgement from men about their promiscuity then brag to their girls how many dug her out,youtube audience is mostly men where are all the girls at,what about fish eggs carried by birds,and sadly there women who literally think like these men
278,happy birthday goat,no women is single if she is somewhat attractive or decent if she tells you she is single don t believe her she has dudes digging her out and dudes she goes out with for free meals and attention,one of the best quotes i heard lately testosterone is what makes men enjoy pain and suffering,just let the chinese take care of the problem,the one who asks pays
279,man the world has become strange,this is facts some chick i was seeing tried to pull that card on me but it ain t work,you want to talk about masculinity get don frye on there lol,there are millions of dollars of goods that traverse just through this area alone he says as a freight train goes through that could carry the same goods,if someone feels the need to control manipulate and emotionally damage another person they don t need to be in a relationship my husband and i fully respect each other and our emotions he never tried to control me at any point in our relationship and when it comes to our emotions both of us support each other and rely on each other for understanding we know we can come to each other when we are going through something i absolutely support men talking about their feelings and being open but this manosphere crap is really pushing a dangerous narrative i m a survivor of dv and sa and a lot of these tactics they are talking about are very similar and sometimes spot on with dv men shouldn t be watching these videos and thinking this is the way to act around women if you feel so insecure in a relationship that you feel you need to control every aspect of the woman s life then you are not ready to be in a relationship point blank
280,first fourty eight,tunning in all the way kampala uganda thanx bro,fact check 56 of youtube users are male and 44 are female not 80 20 like jordan peterson suggested it s a fluke is just a lie,just put this on the border problem solved,red pill you mean low intelligence squad
281,i started using only soy milk becous my doctor said it would be good for my skin but it didn t improved my skin what happens was that i was getting gyno man boobs i then stoped eating soy an they are now slowly going away so stay away from soy,i actually met a girl that said she only wanted to have sex with me me and that s all we did for 4 months lol,the last person who should be speaking about masculinity is jordan fucking peterson,wait speed hump hahahah,everything in the lives of these men is about women putting them down
282,what do you guys actually gain from spreading such obvious bs hahaha i really can t understand it,that s dope,jordan is so well spoken it s like the art of communicating an idea,would harvesting carp for fertilizer work,submite to u basically she has to sell her soul to this fuck and not breath without asking him
283,thats bs lol,i m still jamming to that intro beat,this is fun you two should talk all the time,leave it to the government to create a problem that only they can fix but in the end exacerbates the situation thus requiring more taxpayer dollars and more liberties encroached upon,wren is fucking genius monetize people s guilt lol
