,TOM SCOTT,sentiment,cluster
373,what happens during a power outage,5,1
374,easy way to get dinner just take a boat out and let the fish jump onto your fish fry,5,2
375,humans are great at overfishing why not just overfish the carp into oblivion,5,1
376,great idea but whats going to stop some prick from putting them in a cooler and taking them around the said barriers i understand that has to be a self conscious and common sense decision not to do that but people are people and ill leave it at that,3,2
377,theoretically if you introduce the carp s natural predator would that not solve the problem what kind of ecological consequence would happen if you were to do that,2,2
378,this would probably do even more demage d now the predetor kills all the carps but will probably not stop there so the cycle continous and you have to introduce the predetors predetor into that system and so on while completly destroying everything d,2,2
379,do they tatse good,3,1
380,they do in europe carp is a protected species because of overfishing,3,2
381,why can t you net them like they do in the ocean once or twice a week for a couple of months sure you ll catch other species but they can be sorted if there s a will there s always a way at least try,3,2
382,since the economics of shutting down the canal seem unalterable how about a large crane boat lift on rails to lift a boat over a dam in the canal instead of this electric nightmare is there flow in the canal possibly it would be safer and use less power to pump water around a dam a pump could have screens to keep fish out and any that did get through would get chopped into sea gull food,2,2
383,yay and we get to pay for people s stupidity it even when i just buy food,1,1
384,time to bring a cooler full of carp and dump it into the great lakes thus thwarting millions of dollars of infrastructure,5,2
385,dam up everything the great lakes cannot take this,1,0
386,wow that s really fascinating thank you us army corps of engineers,5,1
387,the chicago ship canal has no natural right to exist it should be filled in,1,2
388,a very american solution to a very american problem,4,1
389,this would be a shocking discovery for the carp,3,0
390,the state of illinois has much bigger problems than this already,2,0
391,they put toxins in the water for when they were down for maintenance their willingness to do this is telling and they haven t learned a thing from all their meddling,4,2
392,i refuse to believe that one could destroy so much by throwing a couple of fish into the lake and yet not a single troll did it,1,2
393,they did there were tests done on the water and while they found no visual indications of any carp they found carp dna,3,2
394,thats why the energyprices are so god damn high,3,1
395,we need to change the way we think animal migration has been just as prevalent of earth as human migration if accidents occur and a species is established if we can use that situation to our advantage the money can be used to do conservation elsewhere those carp can now provide a steady sustainable resource the profits of which can be used to fix other issues safeguard similar issues occurring again and protect other areas species and habitats elsewhere that might be at risk or under threat,4,2
396,0 03 fish go burr,1,1
397,imagine a power outage and the fish getting through,5,2
398,excellent for cat food why not catch them,5,1
399,why not harvest this carp school of fish and export them to china,1,2
400,great video but it get me thinking if only certain transportation can pass i think there could be other less dangerous and expensive ways to do this like a layer of water jets pushing to one direction gates like panama canal huge fish nets paddle thingies pushing water homeless people slapping back the carps etc,4,2
401,i d gladly vote for a levy to employ homeless people slapping back the carps,1,1
402,lmaoooooo homeless people slapping back the carp,1,1
403,now that we know some idiot will release carp into great lakes for fun,5,2
404,no one notice the bird going in and out of the water as it was being shocked,1,2
405,that looks like an awful lot of ancillary substation equipment for a lousy 6 volts per inch of material,1,1
406,this is what we need to do to the rio grande,5,0
407,i hope no fish adapt and become immune to this device,5,0
408,is this not part of the great loop boating path are there not pleasure boats needing to use that canal or do they have another path,2,2
409,all because of a fish,1,2
410,i kinda wish it killed the fish,3,1
411,just have a huge cookout on the shores mmm,3,1
412,why not just reintroduce the carps natural enemy over here,1,1
413,i couldve saved the army millions of dollars by throwing a few m80 s in the lake,1,2
414,remember disney s an american tail about russian mice moving to ny city and overcoming all the adversaries to make a fresh start in the new world they could do a fish story about european carp making it through this barrier and beating the bigoted system that kept them out of the promised lakes,4,2
415,we need this at the border,5,0
416,so for how long have they been doing this and what about before they started doing this,3,0
417,karma at its best especially considering the stuff that is coming your way next the worst is yet to come schopenhauer,5,1
418,i m so sick of metric crap just say it in imperial system your in usa,1,1
419,some poor diver in the navy dive team got zapped for science,2,1
420,so you are telling i can end this guys whole careers by capturing some fish in a lake driving 100 km and releasing it in the other,5,2
421,carp problems years ago i watched two guys with a flat bottom john boat they built an air thruster fan which used a 4hp horizontal petrol engine tiller steering they had crossbows with spools of heavy test braided line they were arrow fishing for carp in two feet of water the air thruster was wakeless no startled carp in coves they shut the engine off and moved by means of a pike in two hours they speared many nasty carp the lake had been a sewage impoundment no fish were suitable for consumption however white stripers were slowly becoming more prevalent summer time temps carp stay in shallows proper game fish go deep,1,2
422,employ large nets and remove them then turn them into fertilizer,5,1
423,farmers that use electric fences to kerp animals in their property will notice less ants on their lands fire ants are not a native species to the usa beneficial harvester ants are native,3,1
424,a voltage drop of 2 5 volts per inch is going to kill something the size of a human that s a couple hundred volts potential difference from head to toe or hand to hand,2,1
425,the guy explaining reminds me of kenneth from 30 rock,5,1
426,tell joe biden turns the power grid off,1,1
427,they should get in touch with the people investigating what recently happened in the river oder in poland and germany maybe they can tell them how to kill all the carps,3,2
428,hopefuly no terrorists find out to catch a few carps and release them into the great lakes would harm the us industry around the great lakes,5,2
429,human intervention causes harm not for the carps quite the opposite,2,1
430,tom scott in my backyard,5,1
431,welp time to start eating carp,3,1
432,thanks ryan great list jazz is the ultimate expression in my opinion,5,1
433,oh no theres too much food in the river,2,1
434,what they need here is some sort of hybrid lock falkirk wheel type structure like a gondola carrying the boat with holes for draining the water and a vacuum function for sucking out fish,4,2
435,dry lock is the only way power can go out or human failure,1,1
436,power outtage all for naught me thinks,3,1
437,do the fish taste good if so,3,2
438,amazing video kyle hill youve done it again wait what its even exactly same title lmao also mind explaining the compound bows behind you d,5,1
439,they re called asian carp they re from asia,1,1
440,i dont understand things like white rhinos we ll hunt to extinction when we re not supposed to then the things we re supposed to hunt no one does you already spent 100 million dollar substation that electrifies the water why not spend another 20 000 hand out fishing poles to the locals,1,2
441,i like when people say human intervention causes harm for who for human beings we re irrelevant and like to pretend we can make or break the planet with our kindness or coldness the reality is the planet was here long before us and will be here long after us even if we wiped every large animal out poisoned every river the earth will be fine life is more robust than we imagine the planet is fine the people are f cked george carlin,5,2
442,how thick are the barriers because couldn t a carp jump them,2,2
443,wonder how much electricity it takes to electrify an entire body of water,3,1
444,smart so electrify an underwater fence to prevent famous jumping fish from getting to the other side,5,2
445,this has been a problem in many areas around the world they need to go to root cause and take care of it at the root and stop spending money on bandages fix the problem do not just keep treating symptoms to a problem use this method to get to a means to an end,1,2
446,the fish were stunned,1,2
447,something about tom scott is so annoying,2,1
448,i ve always wondered about this excellent video,5,0
449,soon there ll be electric carp jumping out the water shooting electricity like palpatine,2,1
450,army carp corp,4,1
451,border control for fish are they mexican carp barge smugglers,3,1
452,i worked at the company in massachusetts that design and built the system,5,2
453,no gonna work birds spread fish aswell either eggs on feet or small smolt,1,1
454,i hope the carp don t figure out how to dig a tunnel past this,3,0
455,a large solar flare event would disable this system,2,0
456,wow very interesting i have never even heard of this enjoyed it,5,0
457,electrify river in texas,5,1
458,i wonder what damage this is doing that we ll find out about in 50 years,3,0
459,get a load of eggs and drone them in the lakes that would mess things up ha ha,4,2
460,let s be honest this is only at best delaying the carp invasion into the great lakes,3,0
461,not as close as last time but tom scott is in my area and i don t get a chance to meet him,3,1
462,what about the pranksters who will now go out and catch a couple of buckets of carp and release them on the other side of the barrier,1,2
463,so if someone were to slip and fall in they might die asking for a friend,3,1
464,there are tons of carp in the chicago canals i don t think it s working,2,2
465,they ve been found in lake calumet which is attached to lake michigan just south of chicago so they ve made it past this and any other barriers and likely swimming around lake michigan waters,4,2
466,i remember in anchorage fish and wildlife had to poison cheney lake because some idiot introduced aggressive northern pike into it,3,1
467,alien invasive species are no joke i work in the sector in spain i ve seen the spanish military been deployed to tackle the spread of the jacinto de agua to stop it from moving to portugal,1,2
468,that s my hometown and as a heads up don t use 2 stroke engines those dam fish hate it and jump more,1,2
469,why not ship the live carps to china as part of export trade the asian community eastern europe love the carps especially fresh ones then once overfished the situation should go back to normal,1,2
470,good luck with that,4,1
471,fish have already been found above the barriers this is a huge waste of money,1,0
472,do this at the rio grande,5,0
473,prank youtubers be like i took 26 carp and put them in the great lakes opps,1,2
474,could just design a system with a small contained section that can fit the boats like a lock and the ability to pump all of the water and fish out to the carp side feels like pumping a bit of water out when a boat comes through might be cheaper than electrifying the water the whole time,3,2
475,not when you consider how much that would slow the barges,2,2
476,even fish needs a passport visa,1,1
477,they should ve just put up a sign that says no carp,1,1
478,tell me humans are disgusting and dumb without saying it,1,1
479,why not just fish them and actually take advantage now that they are overpopulated,2,2
480,that s why bow fishing is popular in illinois and state fishing regulations say once caught any and all carp can not be returned to the water dead or alive nor are any part of the fish to be dumped into the water there is no catch limit any means necessary excluding explosives electricity poison,1,2
481,oh i m sure the government won t use this too make sure folks can not fish for themselves and be self sufficient,1,0
482,what about a lock system right at the end where boats would go up an elevator so to speak right at the connection point the water in the locks could be more highly electrified as they would require less electricity than an entire open canal oh wait we don t infrastricture anymore in the us,3,2
483,right but they could jump so i would imagine they ll jump over the electrified fence,3,2
484,i would love to bring a net to pickup some stunned fish,4,1
485,it s how they make sparkling water,5,2
486,i learned something new today,5,1
487,we used this at a water supply reservoir the joke was turn up voltage amps and left fishermen in they catch the fish then reel them in over the power barrier hook em and cook em,1,2
488,so what if someone just catches some carp and dumps them past the barrier,3,2
489,anyone up for a swim,5,1
490,if worst comes to the worst those carp are going to be a good food source,1,1
491,if you wanna be successful you most take take responsibility for your emotions not place the blame on others in addition to make you feel more guilty about your faults pointing the finger at others will only serve to increase your sense of personal accountability there s always a risk in every investment yet people still invest and succeed you must look outward if you wanna be successful in life,2,2
492,mrs mabel defrauded my out of all my money and baked my cat would not recommend mrs mabel,1,1
493,y all gotcha her leading contact,5,1
494,to be honest i invested as low as a thousand bucks because i was skeptical initially receiving my profit gave me more confidence to try again,2,1
495,this is really helpful for my situation thanks guys i will try her because i ve lost alot trading my own on binance,5,0
496,she s not like other brokers that will start telling you stories and excuses why they trade didn t go well after collecting your money,1,1
497,mrs mabel turned my portfolio from 0 82 btc to 2 18 btc within two weeks of trade what a genius,5,1
498,i have never heard or seen any of her clients complain of lost i think she s one of the best,5,1
499,she s sure on w tsap,4,1
500,sure you can work with her,4,1
501,i would like to work with your trader how can i connect with her,4,1
502,hello am from wales my partner just approved my trading think i am interested how can i get in touch with mrs mabel downey,5,1
503,any medium i can reach her i would really like investing with her and monitoring my trade myself,5,1
504,is her trading service in europe,5,1
505,here in california expert mrs mabel downey carries out the both orientation and mentorship potentials,4,1
506,wtf y all know mrs mabel downey too wow she s really a good trader she s my portfolio manager her skills are top notch didn t take her for the famous type,5,1
507,expert mrs mabel i guess i m the only trading with her,4,1
508,trading with an expert is the best strategy for newbies and busy investors who have little or no time to monitor trade i will advice you not to stop trading on your own it s very risky seek advice of a professional trader,5,1
509,if you see this i hope you have a amazing day,5,0
510,if you see this i hope you have a amazing day,5,0
511,summary us military pays us firms profit us citizen look dumb at the electrical bill of the us military,1,1
512,can anyone explain why it was the us army doing this rather than a civilian entity,1,0
513,ok cool but what if i just introduce the carps into the lake myself,3,2
514,congratulations on going viral for talking in front some water,1,1
515,in south africa they ll steal the electricity,1,1
516,what a great way to waste money don t you even remember what darwin said,1,1
517,in deutschland nennen wir dieses wasser sprudel,1,1
518,tom scott in chicago i was born there i recommend checking out their museum of science and industry they have an awesome foucault pendulum any many other cool exhibits,5,1
519,carp is delicious and healthy,5,1
520,carp have already been in the great lakes for at least a generation at least in lake erie even as a kid my friends and i would fish for carp in rocky river and that location was only about six miles away from the outlet of the river into lake erie i can t speak to the rest of the great lakes and i haven t lived in that area in 25 years now but there were definitely carp with unrestricted access to the great lakes a couple decades ago,4,2
521,there are different types of carp,3,1
522,so what if a bird catches a fish and drops it in the non electrified portion,2,2
523,introduce fresh water sharks next,5,1
524,they should implement a reward system for catching and disposing of the carp,4,2
525,wait wait don t say another word i got this it makes sparkly water i don t need to brag you know what i m all about dangerous stuff right here baby,5,0
526,speak the human language aka american english,5,1
527,so if you do survive the 50 mortality rate and make it beyond the shore would medical personnel come to help you,3,2
528,why would you make this video now i have to go to this il river catch some carp and release them into those lakes you are making me do this,1,0
529,i can t believe he went to peoria lmao and showed lacon on the map,1,1
530,thank you for taking the ti to do tnice tutorials i know i m gonna enjoy figuring it out,4,1
531,it s so sad the damage that invasive species can cause because they were introduced as a quick fix to a problem i m sure that most aussies know about cane toads but they were introduced to deal with cane beetles unfortunately their toxins kill a lot of native animals and they now can be found all over eastern australia humans can make such a huge impact with small decisions,2,2
532,invasive human species are the most dangerous animal,1,1
533,the uk s red squirrel population was nearly wiped out because of the introduction of the grey squirrel luckily they re making a bit of a come back,3,2
534,let s electrocute a river might also be a small decision fraught with problems later on i can t imagine this working some idiot just needs to drop a family of the carp in the great lakes and it s all for nothing,2,2
535,invasive species humans,5,1
536,socialism democratic way see the public debts of nations no more words,1,1
537,there s one more invasive species we forgot to mention humans,2,1
538,toads carp rabbits deer pigs camels millipedes ants yep we aussies have many introduced pests,1,1
539,the same as aussies,5,1
540,the australians have experience also with rabbits,4,1
541,just another example of a long list of government failures,1,1
542,i remember the simpsons episode but never looked into what it was really about,3,1
543,not water though assassins from abroad are there don t know their targets,1,1
544,just build a fence under water wtf,1,1
545,they can t get 1000 fishing boats with gill nets and pay them to clean this mess up we can supposedly over fish everything but asian carp,1,2
546,im really sad all my great lakes are in danger from one thing or another,1,1
547,or send the sea lions that over run portland oregon to that place,1,2
548,introduce seals to see if they will hunt the carp and play killer whale recordings to keep the seals from straying g into the electric zone,4,2
549,100 lies,1,1
550,close the canal ya greedy goofs,1,1
551,i guess controlling the spread of invasive fish species can be a bit of a carp shoot,3,2
552,what if a bird picks one up then drop it on the other side of the barrier there s eagles everywhere in il idk if they d go for carp though,2,2
553,my neck of the woods i live about 15 miles north of peoria the carp are a definite problem,2,1
554,tom scott having paid a visit to romeoville is the funniest thing to me,5,1
555,one lethal mistake after another our federal wildlife agencies only design management methods using killing not able to come up with non lethal methods it s so barbaric,1,1
556,if you catch an asian carp you are to kill it and report it inthe lakes you are never to return a live carp to the lakes,1,2
557,2 24 i never thought i would ever hear in my life us army and fish barrier together in my life xd us army electric fish barrier,5,1
558,a bird carrying a carp is gonna be your worst enemy,1,1
559,so it s all about money what would be the big deal these fish can be eaten just like the game fish they could feed the homeless with them but no rich pricks gotta be able to ride their boats without worrying about getting smacked in the head by a fish,3,2
560,so what you re saying is it s no more effective than a net that needs to be lowered for barges i don t get it,2,2
561,all that sweet gear yet no bow fishing footage,5,1
562,is there nothing we can do about invasive carp bounties for fisherman per pound,1,0
563,why does this seem so unlikely to work,1,0
564,if they shift everything to electric and solar or wind they won t be able to use this method to stop those fish from reaching the great lakes this whole green thing will end up in an ecological nightmare,1,2
565,and why,5,1
566,because military wants to kill of 97 of us,1,1
567,but are they tasty,3,1
568,why not just have a dam and then open it on and turn on the current then seems like that would save a lot of power,2,2
569,can they be consumed i mean the fish,3,2
570,this will fail in time,1,0
571,ahhh another american ahhh nvm i ve ran out of ideas and putting toxins in water rufff i m canadian and i m worried i ve been worried since i was born since i knew about the us,1,1
572,ah yes,5,1
573,just a matter of time,1,1
574,notice how they can t even call them asian carp anymore,1,1
575,the us govt should just open up the carp infested waters to fishing humanity manages to accidentally wipe out whole species over fishing the carp menace into extinction shouldn t be a problem,1,2
576,we already fish carp infested waters constantly there is still too many to deal with they breed stupidly fast,1,1
577,i didn t know about this thank you for sharing this i love learning new things about this crazy state i live in less smog and pollution is a good thing sorry i hope it never gets shut down,5,0
578,you were 5 miles from my house,5,1
579,i saw a program about scottish fisherman using lasers to kill bugs on farmed salmon the makers of this program should communicate with the americans to see how they do it,4,2
580,carps are a natural species in china however in most waterbodies they are not very easy to find they have an ultimate predator fishermen in fact overfishing has been a problem in fresh water in china and sometimes i sit there for a day and cannot get a single bite probably promoting fishing could reduce the amount of carps in the us carps are delicious but i guess americans would hate eating them for having so many bones,3,2
581,it s us why not use gun,1,1
582,wouldn t it be easier to introduce predators to keep the carb in check,3,2
583,introducing another invasive species to deal with a different invasive species is a really bad idea people have tried it in the past and it has always ended in ecological disaster australia is a prime example,2,2
584,couldn t they just make a wall from one side to the other,1,2
585,for some reason they didn t use machine guns or explosives that s weird innit,3,1
586,so we are good at overfishing entire oceans but we can t overfish a river the nets could be smaller and apparently the fish is a plenty carp is edible right it s delicious why not do what we do best and overfish the hell out of that species,3,2
587,the demand for carp isn t that high in the us and they still breed in insane numbers dragging colossal multi kilometer nets across the ocean floor is a lot easier than fishing carp out of a river or dragging them up with tiny nets,3,2
588,carp this fish is one of the tastiest it does not taste dry in many european countrys it is served on new year s eve and very expensive too its not a invasive problem you have no one who wants to fish plus you don t know about the sumptuous taste quality money floats in the river thx for the vid,5,2
589,fascinating stuff i didn t even know i didn t know about,5,1
590,what if the fish just got on the train bypass the whole thing wouldn t they,1,2
591,my thoughts exactly,5,1
592,11 million views jfc,5,1
593,okay but what would happen if someone say just caught a bunch of carp and released them in the great lakes,3,2
594,couldn t a citizen just transplant the carp themselves,1,1
595,if it has no natural predator we ll become its predator,3,1
596,can you imagine billions of dollars being laundered with this project rather then just allow citizens to fish the carp out dry for free,1,2
597,except they already are fishing the carp out but there is still too many carp you cannot outfish a carp with the current population of us fishermen you d need millions of fishermen constantly fishing the rivers very hard labour compared to doing it at sea so unless the us stops the rest of the fishing to deal with carp or gets a lot more fishermen it ll remain a problem,2,2
598,so carp are like the humans of the sea,3,2
599,you know those anti mine ropes that get shot out at great distances to clear mines for tanks couldn t the government use something like that or similar in the heavily populated areas of carp explosions under water cause immediate harm to biological creatures i can see this as a way to quickly lower the carp population if it s really that bad out of control,4,2
600,that also hurts the normal fish though which they really do not want to harm even more than they already are getting harmed it s also expensive to get all the requirements to fish with explosives,2,2
601,i highly recommend everybody that s interested in this look at the youtube video done by kyle hill in relation to the rules that the coast guard has to follow in regard to this area,5,0
602,tonight at 9 electric fish shocking fishermen in the great lakes region and why the us army recommends fishing poles with no metal parts,5,2
603,damn this video blew up i guess it was really electrifying,1,0
604,they must do the same thing to my drinks at the bar sometimes i wake up and have no idea what happened,5,2
605,gotta say 24 7 sessions of non stop fish tassing is a great way to spend electricity,5,1
606,i have those same rockford boat speakers they are wicked,5,1
607,a question what is the purpose of what appears to be several compound bows that are behind you in the opening seconds of the video,3,2
608,why not kill the fish you say at 95 of the eco stop stunning them,5,2
609,your problem isn t the river it s the great blue heron god designed them to pick up unmatched eggs by their feet feathers each time they step they have a good chance of eggs gathering under the feathers so when they fly to the next location like a great lake they ll deposit those eggs and your river system meant nothing,5,2
610,we should do that with the rio grande,3,0
611,to charge the eels,4,1
612,what s wrong with fish being in the lake,1,2
613,not an expert on fishing but can carp be eaten or commercially fished for fish oil or something like that could help with bringing numbers down just a thought,3,2
614,0 o all it takes is a salty fisherman to transport 1 fish over,1,1
615,you need police fish that catch trespassing carp and harass them until they go back to where they came,4,2
616,as an american and a fan of electric barriers i can safely say,5,1
617,wow so many jumping fish,5,1
618,if your filming a video in america then use our metic system,5,1
619,your literally on an american website son,1,1
620,why does it matter,1,1
621,acting as if trucks are the only alternative to barges as a train is running by this waterway could be replaced by rail as far as i know carp don t hitch a ride on trains is it really that simple probably not the obvious ideas to a non expert me aren t always a good way to solve the problem and sometimes just plain wrong headed nevertheless why not use trains instead,2,2
622,uh and how much does this amazingly expensive activity cost the taxpayers every year and up front to build it,1,0
623,i m a bavarian recreational fisherman and carp is an expensive delicacy in germany this looks like carp paradise to me,5,0
624,they re asian carp the flesh itself is ok i hear but there are lots of bones in the muscle tissue so they aren t very desireable for human consumption the whole affair of their introduction to north america and release into the wild is another reminder that judeo european colonization and imperialism has been a calamity for the people and land of america in the sense of the whole landmass from arctic to antarctic,3,2
625,how about trawling the rivers constantly and use the caught carp for cat food and some type of feed,4,2
626,this will not work it will only delay the carp only solution is to fill in part of the canal the barges can unload and reload it would be a pain in the ass but easier than getting rid of the carp once they get through they could pump the sewage through pipes,1,2
627,so smooth everytnice tutorialng he says goes into my brain and sticks in,5,1
628,what are our options for trapping and killing the carp,5,1
629,because as citizens were just the governments guinea pigs,1,1
630,just wait until i tell my fish friends about the weak spot in the barrier,3,1
631,i don t understand his bird logic,2,1
632,return to combat area,1,1
633,what a load of carp,5,1
634,this is awesome,5,0
635,if these carps are in the philippines this problem will be over in less than a week,1,0
636,ok maybe that was a slight exaggeration but it would still,3,1
637,very interesting,5,1
638,even with the minor uncertainties and inconveniences around this it s still a good thing there s actual smort people working on the problem my solution would ve involved a lot more dynamite,4,2
639,what happens if there s a blackout,1,1
640,another video about my hometown,5,1
641,they the fish will eventually get through the answer is genetics,3,2
642,human intervention causes harm ahhh how i wish corona was actually 100 lethal,1,1
643,go to lake crescent and sorell in tasmania australia i think they re the only lakes in the world to successfully eradicate carp it took 20 years,5,2
644,wait so the thing is super deadly to humans but a mere inconvenience or temporary knock out for the fish i don t understand my uneducated simple mind proposes a different plan interrupt the canal by closing a section and filling it with concrete have two canal wide boat ramps on either side and install a type of conveyer belt caterpillar tracks kind of like on army tanks get the whole thing working on solar or wind power and make it super resilient the army people are good at that then you can have barges being pulled out of the water and back in on the other side while the fish can t this could work on anything with a somewhat flat bottom or a fin that is removable sailboats kayaks and canoes would not be able to cross it but they can cross it by taking their vessel out of the water like they always do and they re not cargo carriers anyways engineer people tell me kindly why this would be an unattainable idea please,2,2
645,the rapidly pulsing electricity in the canal tends to cause problems for human hearts which are also incidentally pulsing and are of course much bigger than that of a fish s in comparative size,2,2
646,cut off a humans head they will die cut off a chickens head they will walk around for a couple of minutes cut a worm in half and there is a fair chance one half will live bacteria well they can live in just about any environment magic,1,1
647,unless someone delivers them there,1,1
648,i always turn your videos down to 0 75 speed it keeps my heart rate down,5,1
649,it s only a matter of time before it fails to stop a carp or two,2,1
650,perhaps this is unrealistic but isnt there a something they can so about the craps like mass fishing nets or draining certain areas and gathering them idk,3,2
651,and then some people gets really angry at me when i call humans are cancer go figure,2,1
652,and yet we keep messing about with nature thinking we know what we are doing and can control it transplanting animals as an easy way to mitigate a problem like in this case and what happened in australia messing with the weather making it rain on command and so many more things people are a virus,5,2
653,why not just capture it and make delicious dish,3,1
654,european carp entered australia s outback waterways in the 1970s and devastated the native biota fish crayfish and most of the river vegetative species it took nearly fifty years for any sort of correction to take place leaving the whole system today completely corrupted,1,2
655,european common carp didn t enter australia people took them there same as they did in the usa as far back as the 1800s carp have been reared as food in europe for centuries and misguided businessmen thought breeding and selling them was an easy way to make money what they didn t take into account was that in warmer waters they spread like wildfire,1,2
656,inaction of aus government they just don t give a 2 clocks about environment,1,1
657,tldr dangerous fish get tazed,1,1
658,if you said guess why you can t kayak from the gulf of mexico to the great lakes none of my guesses would be because of a deadly electric fish barrier,1,2
659,plenty of birds in the background all the time trying to get the floating fish brutal,3,2
660,100 murica xd,5,1
661,hey trump supporters this is where all your lost votes are go for a quick dive to find them,5,0
662,wow that push boat is the epitome of world class naval architecture you can tell how much effort and passion went into her timeless refined design truly breathtaking and i consider myself blessed to have even just briefly witnessed such a poignant example of fine shipbuilding,5,1
663,ecosystem at all,5,1
664,electric water yo lemme just throw my phone in there let it charge rq,1,1
665,americans and their complicated solutions why not just put nets,2,1
666,flying carp fly barges do not any net high enough to prevent fish would surely be high enough to impede ships,3,1
667,because murica,2,1
668,ok ok yt recommended i relent i ll watch jees,3,1
669,the thing i find funniest about the situation is that they are nearly extinct in their natural habitat westerners find them disgusting but like everything else they re considered a delicacy in china so they have been overfished they are now buying them from the us,3,2
670,a lot of coulds in this and a lot of money going into stopping carp migration when all it takes is one guy that hates everything going on to box them up and just move them over,1,2
671,i live off lake heron and can say the great lakes defiantly have carp,5,2
672,i wasn t watching with my eyes but i was expecting the guy explaining the system to be in ocp s,3,2
673,if 95 of the biomass in that water why not just electrocute the fish,2,2
674,why don t they add lock gates also it would make the ships go slower they can run higher voltages and when the fish and stunned they take the carp out and supply the restaurants,2,2
675,they don t add lock gates because there are lock gates in all the places were one might want to put lock gates,2,1
676,he reminds me of connor o malley,4,1
677,great work bro you explain the whole things very clearly thanks for sharing with us,5,1
678,anyone wanna go for a swim,1,1
679,why is no one else talking about how wrong he said algae it s al gee,1,1
680,he is british so he uses the british pronunciation,3,1
681,how did you the ad the well i guess thats a tom scott video for ya,3,1
682,great plot for a horror movie,5,1
683,and they say they are saving ecosystem,5,2
684,shut it down southern illinois dont care about chicago,1,1
685,closet full of red shirts ok mark zuckerburg,4,1
686,uhhhhh i live in kenosha wi fish michigan often there are definitely carp in there i catch too many,2,1
687,there s native carp but the invasive carp is different,3,2
688,i sometimes wondered how bull sharks who have swam up as far as alton il in the mississippi river didn t continue into the illinois river and make it to the great lakes now i know one reason,2,2
689,i am a bull shark and i disagree i currently live in lake ontario i would tell you my story of how i got here but it is hard to type with fins,3,2
690,from that time jesus began to preach and to say repent for the kingdom of heaven is at hand matthew 4 17 ye have heard that it hath been said an eye for an eye and a tooth for a tooth but i say unto you that ye resist not evil but whosoever shall smite thee on thy right cheek turn to him the other also matthew 5 38 39,5,2
691,amazing work love the words from the engineer,5,1
692,what about a net,5,1
693,sheldon reservoirin texas had a carp problem a bounty was offered by the pound,1,1
694,wonder if they will adapt to the electricity there are electric eels,3,2
695,i just don t understand why in china it cost very expensive but here they don t want it,2,1
696,why don t we invite the chinese fish companies to net these carbs out make them no tax and free tariff,1,1
697,isn t dc voltage that pulses just ac voltage at a lower hz,2,1
698,just tell everyone that carp are edible and good for cat food and the carp would be cleaned out in a jiffy from over fishing,4,2
699,so to solve world hunger we need a carp recipe,3,1
700,a california lake had a problem with the northern pike being an invasive species fish and game poisoned the entire lake imagine the smell of every fish in the lake coming to the surface dead but most of them were pikes,1,2
701,how 2 3v can be dangerous to a person i mean a car has 12v and unless you put two wires to your mouth it will not harm you,1,1
702,this was fascinating o,5,0
703,so this human interaction we ll see the damage from in 20 50 years i assume,5,0
704,these fish will soon find away to breach this check point,1,0
705,i don t see they can t build another electric fence 5 miles up river kill off everything in that 5 mile stretch restock it with native fish and then do the next 5 mile stretch,1,2
706,0 02 fishy jumping for freedom,1,1
707,like some type of fresh water sea bass just be happy they didn t release easter eggs into the water,4,2
708,all good until the looming power cuts hit,2,1
709,i m wondering wouldn t it be much cheaper for them to make layers on layers of huge mesh fences both above and below water in the canal so the carp can t come through edit i guess they need to be able to move barges through,3,2
710,i hope aliens don t watch this and see how stupid we are,1,0
711,blasted watching this,1,0
712,petroleum from your boat and your lipstick ruin nature,1,1
713,this is just balloon tower defence irl,5,0
714,bro in twenty years there s just gonna be electromagnetically desensitized fish all up in the lake,1,2
715,why weren t nets used as a barrier to prevent the fish,1,1
716,nets prevent barges,3,1
717,how about a bubble net maybe a bubble net would work,3,1
718,i love how he points out the city s only care about money and not there own environment money made them care that s it,5,1
719,let few chinese fishing here for a year you will be surprised at the extinction of this fish,1,0
720,what happens if a flood,1,1
721,hehe at 3 32 there is a duck on the left d,1,1
722,carp are edible i m surprised some company hasn t moved in to process them into food sure beats bug protein,3,1
723,but what if i catch a bunch of them and take them up stream a couple miles and release them,2,2
724,i still remember when obama didn t do anything about these carp when brought upon attention,5,1
725,30 kilos where you from,1,1
726,need to do the same to rio grande,3,0
727,it seems like catching these fish would be an easier solution if 95 of the fish are carp and if releasing poison is already a frequent occurrence surely the land of a thousand nukes could come up with a solution,3,2
728,birds can carry the fish over,4,2
729,damn you were in my areea and i didn t even know i d have loved to stop and say hi,1,1
730,so in essence it s an open air aqua battery i m surprised that grass grows near it would be an excellent place for those that tend to absorb electrical currents to avoid at all costs,3,2
731,no this will not have any effect because voltage current resistance therefore 3 i 1000 naturally human body resistance is around few thousand ohms current i 0 003 amp conclusively this level of current wont effect on our body,1,0
732,otherwwise great video you re audio is a little loud,5,1
733,0 42 what the f is a kilometer,1,1
734,i live in lacon we have a population of like 2000 people no way he came here,1,1
735,i live in lacon no where he came here the most random place this guy could go,1,0
736,you are guarantee the powers that be will get them in there bet me,4,2
737,so i could single handedly ruin americas economy by putting a tank of karp on the other side if it,2,2
738,this is one of those things that would be particulary difficult to explain to aliens,3,0
739,bro you were a couple minutes from my house damn,1,1
740,speak slowly dude,5,1
